127.0.0.1 - - [02/Mar/2016:23:24:05 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:24:10 +0900] "GET /final/stt/index.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:24:17 +0900] "GET /final/stt/index.jsp HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:24:17 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:24:25 +0900] "GET /final/stt/index?customer=%EC%9C%A0%EC%A7%84&counsellor=%ED%96%89%EC%A7%80 HTTP/1.1" 200 5134
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:24:33 +0900] "GET /final/stt/api?date=2016-3-2%2023:24:33%20&transcription=%EB%84%88%EB%AC%B4%20%EC%96%B4%EB%A0%B5%EC%8A%B5%EB%8B%88%EB%8B%A4&confidence=0.8656569719314575 HTTP/1.1" 500 1900
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:24:36 +0900] "GET /final/stt/start.jsp? HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:24:40 +0900] "POST /final/stt/start.jsp? HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:24:44 +0900] "GET /final/stt/morphdb? HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:27:10 +0900] "GET /final/stt/start.jsp? HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:27:11 +0900] "POST /final/stt/start.jsp? HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:27:13 +0900] "GET /final/stt/morphdb? HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:30:22 +0900] "GET /final/stt/emotion.jsp HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:30:29 +0900] "GET /final/stt/start.jsp? HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:30:31 +0900] "POST /final/stt/start.jsp? HTTP/1.1" 200 2601
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:30:32 +0900] "GET /final/stt/morphdb? HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:30:34 +0900] "GET /final/stt/emotion? HTTP/1.1" 404 981
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:31:17 +0900] "GET /final/stt/start.jsp? HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:31:18 +0900] "POST /final/stt/start.jsp? HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:31:20 +0900] "GET /final/stt/morphdb? HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [02/Mar/2016:23:31:21 +0900] "GET /final/stt/emotion? HTTP/1.1" 200 -
